run_id,instance_id,algorithm,num_cities,cost,time,path,quantum_calls,classical_calls,dp_states,timestamp
RUN_0,,quantum,5,103,0.0008168220520019,"[0, 4, 1, 3, 2, 0]",0,28,0,2025-12-24T14:45:02.187998
RUN_1,,quantum,5,103,0.0004081726074218,"[0, 4, 1, 3, 2, 0]",0,28,0,2025-12-24T14:45:03.146775
RUN_2,,quantum,5,103,0.0003819465637207,"[0, 4, 1, 3, 2, 0]",0,28,0,2025-12-24T14:45:03.816685
RUN_3,,quantum,5,79,0.000352144241333,"[0, 4, 3, 2, 1, 0]",0,28,0,2025-12-24T14:47:56.370939
RUN_4,,quantum,5,79,0.0003626346588134,"[0, 4, 3, 2, 1, 0]",0,28,0,2025-12-24T14:47:57.088446
RUN_5,,quantum,5,104,0.0004260540008544,"[0, 4, 1, 3, 2, 0]",0,28,0,2025-12-24T14:53:33.990492
RUN_6,,quantum,5,104,0.0004665851593017,"[0, 4, 1, 3, 2, 0]",0,28,0,2025-12-24T14:53:34.807017
RUN_7,,quantum,5,174,0.0004112720489501,"[0, 3, 4, 1, 2, 0]",0,28,0,2025-12-24T14:55:01.767628
RUN_8,,quantum,5,174,0.0003910064697265,"[0, 3, 4, 1, 2, 0]",0,28,0,2025-12-24T14:56:41.888719
RUN_9,,quantum,5,170,0.0003871917724609,"[0, 2, 3, 4, 1, 0]",0,28,0,2025-12-24T15:06:45.313208
RUN_10,,quantum,5,132,0.000425100326538,"[0, 3, 1, 4, 2, 0]",0,28,0,2025-12-24T15:08:13.744787
RUN_11,,quantum,5,103,0.0002546310424804,"[0, 4, 3, 2, 1, 0]",0,28,0,2025-12-24T15:17:01.144963
RUN_12,,quantum,5,71,0.0002615451812744,"[0, 3, 1, 4, 2, 0]",0,28,0,2025-12-24T15:17:13.014552
RUN_13,,quantum,10,167,10.51220202445984,"[0, 6, 8, 1, 7, 2, 9, 4, 5, 3, 0]",1467,828,0,2025-12-24T15:17:33.864454
RUN_14,,quantum,5,116,0.0001718997955322,"[0, 3, 2, 4, 1, 0]",0,28,32,2025-12-24T15:20:04.157783
RUN_15,,quantum,5,117,0.0003750324249267,"[0, 4, 1, 2, 3, 0]",0,28,32,2025-12-24T15:23:36.606664
RUN_16,,quantum,7,92,0.2911319732666015,"[0, 6, 1, 5, 4, 3, 2, 0]",36,150,192,2025-12-24T15:23:45.128287
RUN_17,,quantum,10,181,10.026756763458252,"[0, 6, 9, 2, 7, 3, 8, 4, 5, 1, 0]",1467,828,2304,2025-12-24T15:24:41.146388
RUN_18,,quantum,10,201,2.58091402053833,"[0, 4, 9, 8, 7, 1, 5, 2, 6, 3, 0]",333,1962,2304,2025-12-24T15:25:00.708651
RUN_19,,quantum,5,117,0.0002357959747314,"[0, 3, 4, 1, 2, 0]",0,28,32,2025-12-24T15:26:25.519473
RUN_20,,quantum,6,118,0.0547494888305664,"[0, 3, 4, 5, 2, 1, 0]",5,70,80,2025-12-24T15:26:45.618698
RUN_21,,quantum,6,119,0.0003724098205566,"[0, 5, 3, 2, 1, 4, 0]",0,75,80,2025-12-24T15:26:55.388363
RUN_22,,quantum,6,132,0.0540707111358642,"[0, 5, 1, 4, 3, 2, 0]",5,70,80,2025-12-24T15:27:14.313051
RUN_23,,quantum,5,124,0.0003092288970947,"[0, 2, 3, 4, 1, 0]",0,28,32,2025-12-24T15:27:24.432642
RUN_24,,quantum,7,178,0.0571227073669433,"[0, 4, 5, 6, 2, 1, 3, 0]",6,180,192,2025-12-24T15:27:44.297971
RUN_25,,quantum,5,128,0.0002138614654541,"[0, 3, 1, 4, 2, 0]",0,28,32,2025-12-24T15:28:13.454668
RUN_26,,quantum,5,128,0.0002899169921875,"[0, 3, 1, 4, 2, 0]",0,28,32,2025-12-24T15:28:14.196168
RUN_27,,quantum,5,96,0.000216007232666,"[0, 3, 2, 4, 1, 0]",0,28,32,2025-12-24T15:35:02.175323
RUN_28,,quantum,7,181,0.0663123130798339,"[0, 5, 2, 6, 4, 1, 3, 0]",6,180,192,2025-12-24T15:35:22.678197
RUN_29,,quantum,5,114,0.0003416538238525,"[0, 3, 1, 4, 2, 0]",0,28,32,2025-12-24T16:26:05.938419
RUN_30,,quantum,5,100,0.0002098083496093,"[0, 4, 2, 3, 1, 0]",0,28,32,2025-12-24T16:26:21.156676
RUN_31,,quantum,5,103,0.0006370544433593,"[0, 4, 2, 3, 1, 0]",0,28,32,2025-12-24T16:30:05.194139
RUN_32,,quantum,3,92,6.794929504394531e-05,"[0, 2, 1, 0]",0,2,4,2025-12-24T16:33:06.495073
RUN_33,,quantum,10,173,13.631036043167114,"[0, 7, 5, 9, 1, 3, 6, 8, 4, 2, 0]",1467,828,2304,2025-12-24T16:33:28.945281
RUN_34,,quantum,6,122,0.0542585849761962,"[0, 4, 2, 3, 5, 1, 0]",5,70,80,2025-12-24T16:34:29.332996
RUN_35,,quantum,5,96,0.000244140625,"[0, 4, 3, 1, 2, 0]",0,28,32,2025-12-24T16:34:36.684233
RUN_36,,quantum,5,112,0.0021548271179199,"[0, 4, 2, 1, 3, 0]",0,28,32,2025-12-24T18:09:48.004740
RUN_37,,quantum,10,158,15.444933891296388,"[0, 5, 6, 7, 3, 8, 9, 4, 2, 1, 0]",1467,828,2304,2025-12-24T18:10:22.688098
RUN_38,,quantum,8,130,1.3337945938110352,"[0, 6, 3, 7, 5, 1, 4, 2, 0]",154,287,448,2025-12-24T18:11:43.633209
RUN_39,,quantum,5,123,0.0002288818359375,"[0, 2, 3, 4, 1, 0]",0,28,32,2025-12-24T18:11:54.710333
